DPS;MOVE NAME;TYPE;POWER;DURATION (MS);DPE
45;BRAVE BIRD;FLYING;90;2000;90
44.44;FUTURESIGHT;PSYCHIC;120;2700;120
43.48;CLOSE COMBAT;FIGHTING;100;2300;100
43.48;STONE EDGE;ROCK;100;2300;100
42.31;PETAL BLIZZARD;GRASS;110;2600;110
41.94;BLIZZARD;ICE;130;3100;130
41.94;GUNK SHOT;POISON;130;3100;130
41.67;THUNDER;ELECTRIC;100;2400;100
40.91;MEGAHORN;BUG;90;2200;90
40.74;HURRICANE;FLYING;110;2700;110
40;FOCUS BLAST;FIGHTING;140;3500;140
40;OVERHEAT;FIRE;160;4000;160
39.47;HYPER BEAM;NORMAL;150;3800;150
39.39;HYDRO PUMP;WATER;130;3300;130
37.84;ZAP CANNON;ELECTRIC;140;3700;140
37.04;FLASH CANNON;STEEL;100;2700;100
36.73;SOLAR BEAM;GRASS;180;4900;180
35.71;PSYCHIC;PSYCHIC;100;2800;100
35;FOUL PLAY;DARK;70;2000;140
35;SKY ATTACK;FLYING;70;2000;140
34.78;SLUDGE BOMB;POISON;80;2300;160
34.62;GRASS KNOT;GRASS;90;2600;180
34.62;POWER WHIP;GRASS;90;2600;180
34.62;WILD CHARGE;ELECTRIC;90;2600;180
34.38;SLUDGE WAVE;POISON;110;3200;110
33.33;FIRE BLAST;FIRE;140;4200;140
33.33;AVALANCHE;ICE;90;2700;180
33.33;DYNAMIC PUNCH;FIGHTING;90;2700;180
33.33;HEAVY SLAM;STEEL;70;2100;140
33.33;CROSS CHOP;FIGHTING;50;1500;100
33.33;EARTHQUAKE;GROUND;120;3600;120
33.33;MOONBLAST;FAIRY;130;3900;130
33.33;SHADOW BALL;GHOST;100;3000;200
32.35;STOMP;NORMAL;55;1700;110
32;HYPER FANG;NORMAL;80;2500;160
32;THUNDERBOLT;ELECTRIC;80;2500;160
31.82;FLAMETHROWER;FIRE;70;2200;140
31.67;HEAT WAVE;FIRE;95;3000;95
31.58;IRON HEAD;STEEL;60;1900;120
